cmu_symbol,description
DH,"<PRO> raises the tip of <PRO_POS> tongue so that it touches the bottom edge of <PRO_POS> top, front teeth. <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> tongue and teeth. As <PRO> does so, <PRO> tightens <PRO_POS> vocal folds so they also vibrate."
F,"<PRO> raises <PRO_POS> lower lip so that it touches the bottom edge of <PRO_POS> top, front teeth. <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> bottom lip and teeth."
HH,"<PRO> partially constricts <PRO_POS> glottis. While keeping <PRO_POS> vocal folds relaxed, <PRO> pushes air through this partial constriction."
SH,"<PRO> raises the tip of <PRO_POS> tongue so that it touches the roof of <PRO_POS> mouth just behind <PRO_POS> gum line. <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> tongue and the roof of <PRO_POS> mouth."
TH,"<PRO> raises the tip of <PRO_POS> tongue so that it touches the bottom edge of <PRO_POS> top, front teeth. <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> tongue and teeth."
V,"<PRO> raises <PRO_POS> lower lip so that it touches the bottom edge of <PRO_POS> top, front teeth. <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> bottom lip and teeth."
Z,"<PRO> raises the tip of <PRO_POS> tongue against <PRO_POS> gum line, just behind <PRO_POS> top teeth. With <PRO_POS> vocal folds tensed, <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> tongue and gum line."
ZH,"<PRO> raises the tip of <PRO_POS> tongue so that it touches the roof of <PRO_POS> mouth just behind <PRO_POS> gum line. With <PRO_POS> vocal folds tensed, <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> tongue and the roof of <PRO_POS> mouth."
S,"<PRO> raises the tip of <PRO_POS> tongue against <PRO_POS> gum line, just behind <PRO_POS> top teeth. <PRO> releases air through <PRO_POS> mouth, creating slight vibrations between <PRO_POS> tongue and gum line."
B,"<PRO> closes <PRO_POS> lips together. <PRO> pushes a little air into <PRO_POS> mouth, so that air pressure builds behind <PRO_POS> lips. With <PRO_POS> vocal folds tensed, <PRO> quickly parts <PRO_POS> lips, releasing the air pressure in a short burst."
D,"<PRO> touches the tip of <PRO_POS> tongue to the roof of <PRO_POS> mouth at <PRO_POS> gum line, just behind <PRO_POS> top teeth. <PRO> creates a tight constriction and allows air pressure to build inside <PRO_POS> mouth. <PRO> quickly lowers <PRO_POS> tongue, releasing the air pressure in a short burst. As <PRO> does so, <PRO> keeps <PRO_POS> vocal folds tense."
